"x","y","z","interval_no"
3.1479492,-0.00048828125,1.1171875,1
3.2177734,-0.1015625,1.5678711,1
2.9858398,-0.29492188,1.6035156,1
2.6914062,-0.5546875,1.5532227,1
2.567871,-0.6767578,1.5678711,1
2.5390625,-0.42578125,1.5756836,1
2.3671875,-0.08886719,1.4663086,1
2.3017578,-0.001953125,1.5297852,1
2.2392578,0.17919922,1.625,1
2.0952148,0.28710938,1.7880859,1
1.9760742,0.1459961,1.8886719,1
1.8588867,0.03955078,1.9418945,1
1.7524414,-0.04248047,1.9970703,1
1.7163086,-0.2055664,1.8920898,1
1.7832031,-0.30810547,1.8295898,1
1.9760742,-0.3227539,1.7827148,1
2.1621094,-0.2529297,1.7529297,1
2.305664,-0.075683594,1.730957,1
2.447754,0.083984375,1.737793,1
2.5205078,0.25683594,1.7666016,1
2.3833008,0.33789062,1.7016602,1
2.2202148,0.30615234,1.6962891,1
1.9931641,0.16503906,1.7397461,1
1.8964844,0.05029297,1.6538086,1
1.8544922,-0.0029296875,1.6245117,1
1.8959961,-0.110839844,1.453125,1
1.9428711,-0.11376953,1.4272461,1
1.8764648,-0.13623047,1.3442383,1
1.7763672,-0.14697266,1.3857422,1
1.7124023,-0.17285156,1.3652344,1
1.6611328,-0.1850586,1.3891602,1
1.6333008,-0.15429688,1.3193359,1
1.7275391,-0.11035156,1.3769531,1
1.644043,-0.080078125,1.3305664,1
1.6943359,-0.06738281,1.3276367,1
1.625,-0.06982422,1.3046875,1
1.7109375,-0.0546875,1.2827148,1
1.5449219,-0.044921875,1.2167969,1
1.515625,-0.0043945312,1.2119141,1
1.5073242,0.03173828,1.2045898,1
1.5014648,0.021972656,1.2001953,1
1.5078125,0.041503906,1.1572266,1
1.5458984,0.025878906,1.0996094,1
1.5883789,0.075683594,1.050293,1
1.6289062,0.10498047,1.0478516,1
1.6499023,0.107910156,1.0068359,1
1.6757812,0.104003906,1.0136719,1
1.6835938,0.051757812,1.0898438,1
1.6831055,-0.02734375,1.1630859,1
1.7285156,-0.09472656,1.2158203,1
1.7763672,-0.19091797,1.2485352,1
1.8120117,-0.30126953,1.1762695,1
1.9335938,-0.38720703,1.0424805,1
2.1420898,-0.42285156,0.96484375,1
2.3886719,-0.38134766,0.89697266,1
