"Interval_no","Peaks_Index","Peaks_value"
10,"Rpeaks[29]",1107
10,"Rpeaks[30]",1141
10,"Rpeaks[31]",1177
10,"Rpeaks[32]",1211
10,"Rpeaks[33]",1246
10,"Rpeaks[34]",1279
10,"Rpeaks[35]",1315
10,"Rpeaks[36]",1348
10,"Rpeaks[37]",1384
10,"Rpeaks[38]",1417
10,"Rpeaks[39]",1453
10,"Rpeaks[40]",1487
10,"Rpeaks[41]",1523
10,"Rpeaks[42]",1556
10,"Rpeaks[43]",1592
10,"Rpeaks[44]",1626
10,"Rpeaks[45]",1662
10,"Rpeaks[46]",1696
10,"Rpeaks[47]",1731
10,"Rpeaks[48]",1766
10,"Rpeaks[49]",1802
10,"Rpeaks[50]",1835
10,"Rpeaks[51]",1872
10,"Rpeaks[52]",1905
10,"Rpeaks[53]",1941
10,"Rpeaks[54]",1974
10,"Rpeaks[55]",2011
10,"Rpeaks[56]",2044
10,"Rpeaks[57]",2080
10,"Rpeaks[58]",2113
10,"Rpeaks[59]",2149
10,"Rpeaks[60]",2183
10,"Rpeaks[61]",2219
10,"Rpeaks[62]",2253
10,"Rpeaks[63]",2289
10,"Rpeaks[64]",2322
10,"Rpeaks[65]",2357
10,"Rpeaks[66]",2391
10,"Rpeaks[67]",2427
10,"Rpeaks[68]",2460
10,"Rpeaks[69]",2496
10,"Rpeaks[70]",2530
10,"Rpeaks[71]",2566
10,"Rpeaks[72]",2600
10,"Rpeaks[73]",2636
10,"Rpeaks[74]",2670
10,"Rpeaks[75]",2706
10,"Rpeaks[76]",2739
10,"Rpeaks[77]",2774
10,"Rpeaks[78]",2808
10,"Rpeaks[79]",2843
10,"Rpeaks[80]",2876
10,"Rpeaks[81]",2911
10,"Rpeaks[82]",2945
